Individual{TOC=6865.15874914369, NV=25}
Individual{TOC=6429.92780342163, NV=30}
Individual{TOC=5935.377627911957, NV=31}
Individual{TOC=5465.176771267118, NV=40}
Individual{TOC=7265.7577646472, NV=23}
Individual{TOC=9675.629553424604, NV=13}
Individual{TOC=5106.470600898615, NV=52}
Individual{TOC=5149.9069663879345, NV=44}
Individual{TOC=8987.908488190265, NV=14}
Individual{TOC=7198.11349706719, NV=24}
Individual{TOC=7915.7037592711795, NV=18}
Individual{TOC=7767.55493113578, NV=19}
Individual{TOC=8498.320621916926, NV=15}
Individual{TOC=6437.253198718061, NV=27}
Individual{TOC=5155.649423827965, NV=43}
Individual{TOC=5297.109548294678, NV=41}
Individual{TOC=5541.463644439373, NV=38}
Individual{TOC=5560.053422643862, NV=34}
Individual{TOC=5852.252646662034, NV=32}
Individual{TOC=13926.89154752454, NV=11}
Individual{TOC=10370.595729132752, NV=12}
Individual{TOC=8223.919801197462, NV=16}
Individual{TOC=7444.987402481435, NV=22}
Individual{TOC=5027.880727753916, NV=53}
