Individual{TOC=7236.871334334207, NV=19}
Individual{TOC=7287.777683246972, NV=18}
Individual{TOC=8643.044076522727, NV=16}
Individual{TOC=9182.768431421759, NV=15}
Individual{TOC=10070.294031579033, NV=14}
Individual{TOC=7913.908407721456, NV=17}
Individual{TOC=10624.956356872903, NV=12}
Individual{TOC=5273.862614294997, NV=40}
Individual{TOC=5327.886292348901, NV=33}
Individual{TOC=5608.886551532957, NV=27}
Individual{TOC=5952.738449194776, NV=26}
Individual{TOC=6049.1472880332485, NV=23}
Individual{TOC=6793.981336879697, NV=20}
Individual{TOC=10799.41433913014, NV=11}
Individual{TOC=10109.722103269487, NV=13}
Individual{TOC=6285.330930860805, NV=21}
