Individual{TOC=7149.1774812687445, NV=14}
Individual{TOC=6890.9108125478615, NV=16}
Individual{TOC=7628.838393727283, NV=13}
Individual{TOC=5305.493942418714, NV=41}
Individual{TOC=7018.777754268913, NV=15}
Individual{TOC=5420.889842825517, NV=39}
Individual{TOC=5757.873049506007, NV=26}
Individual{TOC=6415.746753098262, NV=21}
Individual{TOC=8004.431711965662, NV=12}
Individual{TOC=8277.659212181508, NV=11}
Individual{TOC=5124.651867122666, NV=49}
Individual{TOC=5154.029028670488, NV=46}
Individual{TOC=5561.0643077880795, NV=35}
Individual{TOC=6021.277363144224, NV=22}
Individual{TOC=6550.225418030776, NV=19}
Individual{TOC=5721.266829158808, NV=27}
Individual{TOC=6642.885986273316, NV=18}
Individual{TOC=8949.3807398974, NV=10}
