Individual{TOC=4987.870150131598, NV=40}
Individual{TOC=5005.415981674468, NV=31}
Individual{TOC=5103.131971054006, NV=27}
Individual{TOC=5159.2782946374, NV=21}
Individual{TOC=5276.949780435109, NV=19}
Individual{TOC=6962.4899730995385, NV=12}
Individual{TOC=5389.559549708896, NV=18}
Individual{TOC=6712.468623835261, NV=13}
Individual{TOC=5534.844918737243, NV=17}
Individual{TOC=5590.685168561943, NV=16}
Individual{TOC=6055.186360441481, NV=15}
Individual{TOC=5227.940400970042, NV=20}
Individual{TOC=8157.071683624191, NV=11}
Individual{TOC=6519.003267684584, NV=14}
