Individual{TOC=5264.335316878315, NV=30}
Individual{TOC=6080.772394949614, NV=19}
Individual{TOC=6038.48201829403, NV=20}
Individual{TOC=7658.114032647232, NV=15}
Individual{TOC=6983.927450825323, NV=18}
Individual{TOC=5587.091114611031, NV=22}
Individual{TOC=5009.237514903786, NV=36}
Individual{TOC=5075.718654667696, NV=34}
Individual{TOC=5198.193040091039, NV=32}
Individual{TOC=5387.060410080089, NV=23}
Individual{TOC=7150.316561228634, NV=17}
Individual{TOC=7796.372100235477, NV=14}
Individual{TOC=7224.509743492187, NV=16}
Individual{TOC=8903.691904624617, NV=13}
